key,en_US,ja,es,en_GB,pl,ru,lv,eo
I18N_SKIN_CBSymbolsB,"Are the colors confusing? Don't worry, we have symbols too!",色が見にくいですか？ 記号もありますよ！,¿Los colores te confundan? No te preocupes; ¡también tenemos símbolos!,"Are the colours confusing? Don't worry, we have symbols too!",,"Цвета сбивают с толку? Не волнуйтесь, у нас есть и символы!",,
I18N_SKIN_CBPatternsA,Colorblind: Patterns,色覚多様：模様,Daltónico: Patrones,Colourblind: Patterns,,Цветная слепота: Узоры,,
I18N_SKIN_CBPatternsB,"Are the colors confusing? Don't worry, we have patterns too!",色が見にくいですか？ 模様もありますよ！,¿Los colores te confundan? No te preocupes; ¡también tenemos símbolos!,"Are the colours confusing? Don't worry, we have patterns too!",,"Цвета сбивают с толку? Не волнуйтесь, у нас есть и узоры!",,
I18N_SEIZURE,Seizure warning,警告：光過敏性発作,Advertencia de incautación,,,Предупреждение о припадке,,
I18N_SEIZURE_0,"A small percentage of the population may experience [b]convulsions[/b], [b]disorientation[/b], or [b]loss of consciousness[/b] resulting from visual stimuli, such as [b]flashing colors[/b] and [b]regular, contrasting patterns[/b].",一部の人は、[b]ちかちか変わる色[/b]や[b]コントラストが高い模様[/b]などの光刺激を見た際に、[b]けいれん[/b]・[b]めまい[/b]・[b]失神[/b]などの症状が出ることがあります。,"Un pequeño porcentaje de la población puede sufrir [b]convulsiones[/b], [b]desorientación[/b] o [b]pérdida de conocimiento[/b] como consecuencia de estímulos visuales, como [b]colores intermitentes[/b] y [b]patrones regulares y contrastados[/b].","A small percentage of the population may experience [b]convulsions[/b], [b]disorientation[/b], or [b]loss of consciousness[/b] resulting from visual stimuli, such as [b]flashing colours[/b] and [b]regular, contrasting patterns[/b].",,"Небольшой процент населения может испытывать [b]конвульсию[/b], [b]дезориентацию[/b] или [b]потерю сознания[/b] в результате зрительных стимулов, таких как [b]мигающие цвета[/b] и [b]регулярные, контрастные узоры[/b].",,
I18N_SEIZURE_1,"While these [b]photosensitive epileptic seizures[/b], as they're called, run in the family, even people without any past history of epilepsy may have an undiagnosed condition that leads to an epileptic episode.",「光過敏性発作」と呼ばれるこの発作は遺伝しますが、過去に発作の経験が無い人でも、新たに症状が発覚する可能性があります。,"Aunque estos «[b]ataques epilépticos fotosensibles[/b]», como se denominan, son hereditarios, las personas sin antecedentes de epilepsia también podrían tener una afección no diagnosticada que puede provocar un episodio epiléptico.",,,"Хотя эти [b]светочувствительные эпилептические припадки[/b], как их называют, идёт по семейству, даже у людей не страдавших эпилепсией, может быть недиагностированное состояние, которое приводит к эпилептическому приступу.",,
I18N_SEIZURE_2,"If you experience any symptoms, such as [b]altered vision[/b], [b]stiffness or twitching of the eyes or limbs[/b], [b]light-headedness[/b], [b]disorientation[/b], [b]memory loss[/b], or if you or your relatives have a history of those symptoms, [b]stop playing immediately[/b] and ask your doctor whether this game is safe for you to play.",もし[b]視覚の異常[/b]・[b]まぶたや手足の硬直やけいれん[/b]・[b]めまい[/b]・[b]方向感覚の異常[/b]・[b]短期記憶喪失[/b]などの症状が出た場合、またあなたや親戚の誰かがそのような症状を経験したことがある場合、[b]すぐゲームを終了して[/b]、医療専門家の意見を聞いてください。,"Si usted experimenta algún síntoma, como [b]alteración de la visión[/b], [b]rigidez o espasmos de los ojos o de las extremidades[/b], [b]mareos[/b], [b]desorientación[/b], [b]pérdida de memoria[/b], o si usted o sus familiares tienen antecedentes de esos síntomas, [b]deje de jugar inmediatamente[/b] y pregunte a su médico si este juego es seguro para usted.",,,"Если у вас или ваших родственников есть история симптомов, такие как [b]изменение зрения[/b], [b]скованность или подергивание глаз или конечностей[/b], [b]головокружение[/b], [b]дезориентация[/b], [b]потеря памяти[/b], то просим [b]прекратить играть[/b], спросите своего врача, безопасна ли для вас эта игра.",,
I18N_NEXT,Next,次,Siguiente,,,Дальше,,Sekva
I18N_CONFIRM,Confirm,確認,Confirmar,,,Подтвердить,,
I18N_DONT_SHOW,Don't show again,非表示にする,No volver a aparecer,,,Не показывать снова,,
I18N_PAUSE,Pause,ポーズ,Pauso,,,Пауза,,
I18N_RESUME,Continue,続ける,Continuar,,,Продолжить,,
I18N_RESTART,Restart,やり直す,De nuevo,,,Перезапустить,,
I18N_EXIT,Exit,戻る,Salir,,,Выйти,,
I18N_DPAD_LEFT,⥢ D-Pad left,⥢ 十字ボタン左,⥢ Cruceta izquierda,,,"⥢ Крестовина ""Влево"" (D-Pad)",,
I18N_DPAD_RIGHT,⥤ D-Pad right,⥤ 十字ボタン右,⥤ Cruceta derecha,,,"⥤ Крестовина ""Право"" (D-Pad)",,
I18N_DPAD_UP,⥣ D-Pad Up,⥣ 十字ボタン上,⥣ Cruceta arriba,,,"⥣ Крестовина ""Вверх"" (D-Pad)",,
I18N_DPAD_DOWN,⥥ D-Pad Down,⥥ 十字ボタン下,⥥ Cruceta abajo,,,"⥥ Крестовина ""Вниз"" (D-Pad)",,
I18N_BTN_LEFT,⮈ Left face button,⮈ 左ボタン,⮈ Botón del pulgar izquierda,,,"⮈ Лицевая кнопка ""Влево""",,
I18N_BTN_RIGHT,⮊ Right face button,⮊ 右ボタン,⮊ Botón del pulgar derecha,,,"⮊ Лицевая кнопка ""Право""",,
I18N_BTN_UP,⮉ Up face button,⮉ 上ボタン,⮉ Botón del pulgar arriba,,,"⮉ Лицевая кнопка ""Вверх""",,
I18N_BTN_DOWN,⮋ Down face button,⮋ 下ボタン,⮋ Botón del pulgar abajo,,,"⮋ Лицевая кнопка ""Вниз""",,
I18N_BTN_SELECT,Select button,セレクト,Botón Select,,,кнопка Select,,
I18N_BTN_START,Start button,スタート,Botón Start,,,кнопка Start,,
I18N_BTN_LB,⮰ Left bumper,⮰ 左側面ボタン,⮰ Botón lateral izquierda,,,⮰ L1/LB (Левый бампер),,
I18N_BTN_RB,⮱ Right bumper,⮱ 右側面ボタン,⮱ Botón lateral derecha,,,⮱ R1/RB (Правый бампер),,
I18N_BTN_LT,⮲ Left trigger,⮲ 左トリガー,⮲ Gatillo izquierda,,,⮲ L2/LT (Левый триггер),,
I18N_BTN_RT,⮳ Right trigger,⮳ 右トリガー,⮳ Gatillo derecha,,,⮳ R2/RT (Правый триггер),,
I18N_BTN_LS,Left stick press,左スティック押し込み,Apretar la palanca izquierda,,,Левый джойстик L3,,
I18N_BTN_RS,Right stick press,右スティック押し込み,Apretar la palanca derecha,,,Правый джойстик R3,,
I18N_KEY_Unknown,(an unsupported key),【非対応のキー】,(tecla sin apoyo),,,(неподдерживаемая клавиша),,
I18N_KEY_BackSpace,Backspace,バックスペース,Retroceso,,,,,
I18N_KEY_Shift,Shift,シフト,Mayúsculo,,,,,
I18N_KEY_Left,←,,,,,,,
I18N_KEY_Right,→,,,,,,,
I18N_KEY_Down,↓,,,,,,,
I18N_KEY_Up,↑,,,,,,,
I18N_KEY_Escape,Esc,,,,,,,
I18N_KEY_CapsLock,Caps Lock,英数,Bloque Mayúsculo,,,,,
I18N_KEY_NumLock,Num Lock,Num Lock,Bloque Numérico,,,,,
I18N_KEY_PageUp,Page Up,PgUp,Retroceder Página,,,PgUp,,
I18N_KEY_PageDown,Page Down,PgDn,Avanzar Página,,,PgDn,,
I18N_KEY_Kp Enter,NumPad Enter,テンキー「Enter」,Entrar (Numérico),,,,,
I18N_KEY_Kp Divide,NumPad /,テンキー「／」,/ (Numérico),,,,,
I18N_KEY_Kp Multiply,NumPad *,テンキー「＊」,* (Numérico),,,,,
I18N_KEY_Kp Subtract,NumPad -,テンキー「－」,- (Numérico),,,,,
I18N_KEY_Kp Add,NumPad +,テンキー「＋」,+ (Numérico),,,,,
I18N_KEY_Kp Number,NumPad %d,テンキー「%d」,%d (Numérico),,,,,
I18N_KEY_Kp Period,NumPad .,テンキー小数点,. (Numérico),,,,,
I18N_KEY_BackSlash,Backslash,￥,,,,\,,
I18N_KEY_Slash,Slash,／,,,,/,,
I18N_KEY_Minus,Minus,ー,,,,-,,
I18N_KEY_Apostrophe,Apostrophe,’,,,,',,
I18N_KEY_Semicolon,Semicolon,；,,,,;,,
I18N_KEY_Comma,Comma,、,,, ,",",,
I18N_KEY_Period,Period,。,,,,.,,
I18N_KEY_QuoteLeft,Grave Accent,アクサン・グラーブ,Tecla arriba del Tab,,,~,,
I18N_KEY_BraceLeft,Left Bracket,「,[,,,[,,
I18N_KEY_BraceRight,Right Bracket,」,],,,],,
I18N_KEY_Equal,Equals,＝,Igual,,,＝,,
I18N_KEY_Control,Control,Ctrl,,,,Ctrl,,
I18N_KEY_Meta+,Windows,,,,,Win,,
I18N_KEY_ScrollLock,Scroll Lock,スクロールロック,,,,,,
I18N_KEY_Space,Space,空白,Espacio,,,Пробел,,
I18N_KEY_Home,Home,,Inicio,,,,,
I18N_KEY_End,End,,Fin,,,,,
I18N_MODE_NOT_DONE,This mode isn’t available yet.,このモードはまだ遊べません。,Este modo aún no está disponible.,,,Этот режим пока недоступен.,Šis režīms pagaidām nav pieejams.,
I18N_SOCIAL,Social Media,ソーシャルメディア,Redes sociales,,,Социальные сети,Sociālie tīkli,
I18N_TWITTER,Twitter,Twitter,,,,,,
I18N_DISCORD,Discord,Discord,,,,,,
I18N_WEBSITE,Website,ウェブサイト,Sitio Web,,,Сайт,Tīmekļa vietne,
I18N_CLOSE,Close,閉じる,,,,Закрыть,Aizvērt,Fermi
I18N_EDIT_PLAYFIELD,Edit the playfield,盤面を編集,Editar el tablero,,,Редактировать игровое поле,,
I18N_EDIT_PLAYFIELD_MOUSE,Mouse controls,マウスでの操作,Controles con un ratón,,,Управление мышью,,
I18N_EDIT_PLAYFIELD_MOUSE_HELP,Place: Left click\nDelete: Right click\nCycle: Scroll wheel\nHP: Back/Forward,置く：左クリック\n消す：右クリック\n選択を変える：スクロール\nHP：戻る／進む,Colocar: Clic izquierdo\nEliminar: Clic derecho\nElegir: Rueda de desplazamiento\nPV: Atrás/Adelante,,,Разместить: ЛКМ\nУдалить: ПКМ\nВыбор блока: Колесо прокрутки\nХП: Назад/Вперед,,
I18N_EDIT_PLAYFIELD_GAMEPAD,Gamepad controls,コントローラーでの操作,Controles con un mando,,,Управление геймпадом,,
I18N_EDIT_PLAYFIELD_GAMEPAD_HELP,Cursor: ⥢ ⥥ ⥣ ⥤\nPlace: %s   Delete: %s\nCycle: ⮰ / ⮱   HP: ⮲ / ⮳\n,カーソル：⥢ ⥥ ⥣ ⥤\n置く：%s　消す：%s\n選択を変える：⮰ / ⮱　HP：⮲ / ⮳,Cursor: ⥢ ⥥ ⥣ ⥤\nColocar: %s　Eliminar: %s\nElegir: ⮰ / ⮱　PV: ⮲ / ⮳,,,Указать: ⥢ ⥥ ⥣ ⥤\nРазместить: %s   Удалить: %s\nВыбор блока: ⮰ / ⮱   ХП: ⮲ / ⮳\n,,
I18N_EDIT_PLAYFIELD_KEYBOARD,Keyboard controls,キーボードでの操作,Controles con un teclado,,,Управление клавиатурой,,
I18N_EDIT_PLAYFIELD_KEYBOARD_HELP,Cursor: ←↓↑→\nPlace: ↵　Delete: Esc\nCycle: PgUp/PgDn　HP: Home/End,カーソル：←↓↑→\n置く：↵　消す：Esc\n選択を変える：PgUp/PgDn　HP：Home/End,Cursor: ←↓↑→\nColocar: ↵　Eliminar: Esc\nElegir: RePág/AvPág　PV: Inicio/Fin,,,Указать: ←↓↑→\nРазместить: ↵　Удалить: Esc\nВыбор блока: PgUp/PgDn　ХП: Home/End,,
I18N_EDIT_NEXT,Edit the NEXT queue,NEXTを編集,Editar la cola “Siguiente”,,,Редактировать очередь ДАЛЕЕ,,
I18N_EDITING_DOMINO_%d,Editing Domino at index %d,インデックス %d番を編集中,Editando el dominó con índice %d,,,Редактирование домино с индексом %d,,
I18N_EDIT_END_QUEUE,End of queue,枯渇後,Fin de la cola,,,В конец очереди,,
I18N_EDIT_END_BEHAVIOR,End behavior,NEXTが無くなった時,Qué hacer cuando se acaba,End behaviour,,Поведение в конце,,
I18N_EDIT_END_GAMEOVER,Game over,ゲームオーバー,Fin de juego,,,Конец игры,,
I18N_EDIT_END_RANDOM,Randomize,ランダムに生成する,Aleatorizar,Randomise,,Рандомизировать,,
I18N_EDIT_END_LOOP,Loop,ループする,Volver,,,Цикл,,
I18N_EDIT_NO_OPTIONS,No options,設定項目なし,Sin opciones,,,Без опций,,
I18N_EDIT_ALLOWED_COLORS,Allowed colors,生成する色,Colores permitidos,Allowed colours,,Разрешенные цвета,,
I18N_EDIT_INDEX,Index to loop to (first is 0),ループする先のインデックス（最初は0番）,Índice a donde volver (el primero es número 0),,,Индекс цикла (первый равен 0),,
I18N_EDIT_NEXT_QUEUE,NEXT queue,NEXTピース,Cola “Siguiente”,,,очередь ДАЛЕЕ,,
I18N_EDIT_OBJECTIVE,Edit the objective and other level data,目標などレベルデータを編集,Editar el objetivo,,,Редактирование данных цели и других уровней,,
I18N_EDIT_PLAYTEST,Play test,プレイテスト,Probar el nivel,,,Сыграть тест,,
I18N_EDIT_SHARE,Share & load,共有・読み込み,Compartir y cargar,,,Поделиться и загрузить,,
I18N_EDIT_RESET,Start over,リセット,Iniciar de nuevo,,,Начать заново,,
I18N_EDIT_TOO_FEW_COLORS,You should select at least 3 colors.,少なくとも3色は選んでください。,Debes elegir al menos 3 colores.,You should select at least 3 colours.,,Вы должны выбрать не менее 3 цветов.,,
I18N_EDIT_NO_COLORS,You must select at least 1 color!,色を選択しないと、NEXTを生成できません！,¡Necesitas elegir al menos 1 color!,You must select at least 1 colour!,,Вы должны выбрать хотя бы 1 цвет!,,
I18N_EDIT_OBJECTIVE_TYPE,Objective type,目標タイプ,Tipo de objetivo,,,Тип цели,,
I18N_EDIT_OBJECTIVE_PARAM,Objective parameter,目標の変数,Parámetros del objetivo,,,Параметр цели,,
I18N_EDIT_LEVEL,Speed level,レベル,Nivel de velocidad,,,Скорость уровня,,
I18N_EDIT_LEVEL_HELP,"At this level, the Domino will descend %0.3f row(s) in 1 second.",このレベルでは、牌は毎秒%0.3fマス落ちます。,"A este nivel, el dominó caerá %0.3f fila(s) por segundo.",,,На этом уровне домино опустится на %0.3f строк(ов) за 1 секунду.,,
I18N_EDIT_TITLE,Title,タイトル,Título,,,Название,,
I18N_EDIT_TITLE_HELP,The title may not be longer than 64 characters. Some emoji may count as multiple.,タイトルは64文字以下にしてください。全角・半角は問いません。,El título no puede ser más largo que 64 carácteres. Algunos emoji cuentan como múltiples.,,,Заголовок не может быть длиннее 64 символов. Некоторые эмодзи могут считаться множественными.,,
I18N_EDIT_DIFFICULTY,Difficulty,難易度,,,,Сложность,,
I18N_EDIT_DIFFICULTY_HELP,"This is just for the player's convenience, and does not affect the gameplay in any way.",これは目安だけで、ゲームの内容には全く影響しません。,,,,"Это просто для того, чтобы показать звездный рейтинг для пользовательских уровней.",,
I18N_EDIT_SEED,Seed,シード,,,,Сид,,
I18N_EDIT_SEED_HELP,"In order to make consistent hints for a “randomly generated” NEXT queue, the random number generator has to start with the same seed, so that it generates the same pieces every time.\nYou can leave this alone if your NEXT queue won't be randomly generated.",「ランダムに生成」された牌にヒントをつけるためには、乱数生成の最初の状態（シード）を同じにして、毎回同じピースが生成されないといけません。\nNEXTがランダムに生成されない限り、これはそのままにして大丈夫です。,,,,"Чтобы сделать последовательные подсказки для ""случайно сгенерированной"" очереди ДАЛЕЕ, случайные чисела должены начинаться с одного и того же начального числа, чтобы каждый раз генерировать одни и те же фрагменты.\nВы можете оставить это в покое, если ваша очередь ДАЛЕЕ не будет сгенерирована случайным образом.",,
I18N_EDIT_AUTHOR,Author,作者,,,,Автор,,
I18N_EDIT_SHARE_TEXT,As text,テキストとして,,,,В виде текста,,
I18N_EDIT_SHARE_QR,As QR code (beta),QRコードとして（β）,,,,В виде QR-кода (бета-версия),,
I18N_QR_SAVED,Saved the QR code where you wanted!,指定した場所にQRコードを保存しました！,,,,"Сохраните QR-код там, где вам нужно!",,
I18N_QR_ERROR,An error occurred while processing a QR code: ,QRコードの処理中にエラーが起こりました。,,,,При обработке QR-кода произошла ошибка: ,,
I18N_ERROR_13,13 - Can't write. Did you grant this app the permission to write files?,13 - 書き込み失敗。アプリにファイルを書き込む権限を与えましたか？,,,,13 - Невозможно записать. Дали ли вы этому приложению разрешение на запись файлов?,,
I18N_ERROR_15,15 - Unrecognized error,15 - 不明のエラー。,,,,15 - Непризнанная ошибка,,
I18N_ERROR_FALLBACK,Error code %d.,エラーコード%d。,,,,Код ошибки %d.,,
I18N_EDIT_RESTART,Are you absolutely sure you want to trash this level?,本当に最初から作り直しますか？,,,,"Вы уверены, что хотите уничтожить этот уровень?",,
I18N_MODE_OPTIONS,Mode option,モード設定,Opciones del modo,,,Опция режима,,
I18N_GAME_SPEED,Game speed,ゲームの速さ,Velocidad del juego,,,Скорость игры,,
I18N_SPEED_LOW,Low,おそい,Baja,,,Медленный,,
I18N_SPEED_MEDIUM,Medium,ふつう,Mediana,,,Средний,,
I18N_SPEED_HIGH,High,はやい,Alta,,,Быстрый,,
I18N_COLOR_COUNT,Color count,色数,Número de colores,Colour count,,Количество цветов,,
I18N_UNIT_COLORS, colors,色, colores, colours,, цветов,,
I18N_ENEMY_HEIGHT,Rows of MalBots to generate,マルボッツの列の数,Filas de MalBots para generar,,,Ряды для генерации MalBots,,
I18N_UNIT_ROWS, rows,列, filas,,, рядов,,
I18N_ENEMY_HP,Average HP of MalBots,マルボッツの平均HP,PV medios de los MalBots,,,Средняя ХП ВредБотов,,
I18N_UNIT_HP,HP ,,PV,,,ХП,,
I18N_COLOR_RATIO,Ratio of colored MalBots,色付きマルボッツの比率,Proporción de MalBots colorados,Ratio of coloured MalBots,,Соотношение цветных ВредБотов,,
I18N_SELECT_MODE,Select Mode,モード選択,,,,Выбрать режим,,
I18N_MODE_MARATHON,Marathon,マラソン,,,,Марафон,,
I18N_MODE_MARATHON_HELP,Survive 20 rounds of ever-accelerating gameplay! No MalBots.,どんどん速くなるゲームを20ラウンド制覇しろ！ マルボッツは出てこない。,,,,Переживите 20 раундов постоянно ускоряющегося игрового процесса! Никаких ВредБотов.,,
I18N_MODE_PETRI,Petri Dish,ペトリ皿,,,,Чашка Петри,,
I18N_MODE_PETRI_HELP,"Generate a colony of MalBots, and exterminate it as quickly as you can!",マルボッツを好きなように生成し、できるだけ速く全滅させろ！,,,,Выберите количество ВредБотов и затем уничтожьте их как можно быстрее!,,
I18N_MODE_ONSLAUGHT,Onslaught,大進撃,,,,Нападение,,
I18N_MODE_ONSLAUGHT_HELP,MalBots keep spawning in from the bottom of the playfield. Fend them off as long as you can!,フィールドの底から湧いてくるマルボッツをできるだけ長く耐えきれ！,,,,ВредБоты продолжают появляться в нижней части игрового поля. Отбивайтесь от них как можно дольше!,,
I18N_MODE_MISSION,Mission Train,ミッショントレイン,,,,Поезд Миссии,,
I18N_MODE_MISSION_HELP,Challenge yourself on how many objectives you can complete in a row before time runs out!,制限時間内に目標をいくつクリアできるかチャレンジしよう！,,,,"Соревнуйтесь, сколько целей вы сможете выполнить подряд до истечения времени!",,
I18N_MODE_ZEN,Zen mode,リラックスモード,Modo zen,,,Режим Дзен,,Zena reĝimo
I18N_MODE_ZEN_HELP,"Just keep on popping Blocks to your heart's content. No MalBots, no pressure.",好きなだけブロックを積み上げられる。マルボッツも、プレッシャーもない。,,,,Просто продолжайте выставлять блоки в свое удовольствие.,,
I18N_WORLD_%d,World %d,ワールド%d,,,,Мир %d,,
I18N_WORLD_0A,Tutorial,チュートリアル,,,,Туториал,,
I18N_WORLD_1A,[world 1 subtitle],,,,,,,
I18N_WORLD_2A,[world 2 subtitle],,,,,,,
I18N_WORLD_3A,[world 3 subtitle],,,,,,,
I18N_WORLD_4A,[world 4 subtitle],,,,,,,
I18N_WORLD_5A,[world 5 subtitle],,,,,,,
I18N_WORLD_TIER%d,Tier %d,第%d階層,,,,Ступень №%d,,
I18N_WORLD_BOSS,World Boss,ワールドボス,,,,Мировой Босс,,
I18N_WORLD_ADVANCE,Solve at least [b]3 levels[/b] to advance to the next tier!,[b]3問[/b]以上解いたら、次の階層へ進めます！,,,,"Решите как минимум [b]3 уровня[/b], чтобы перейти на следующую ступень!",,
I18N_TIER_LOCKED,This tier is still locked.,この階層はまだ解禁できていません。,,,,Эта ступень все еще заблокирована.,,
I18N_NEW_RECORD,[b]New record![/b],[b]新記録！[/b],,,,[b]Новый рекорд![/b],,
I18N_CHARA_000,Robotic voice,機械音声,,,,Роботизированный голос,,
I18N_CHARA_001,???,???,,,,,,
I18N_SETUP_000,New biosignature detected.\nInitializing first-time setup.,新規生体反応あり。\n初回セットアップ開始。,,,,Обнаружен новый биосигнал.\nИнициализация первой настройки.,,
I18N_SETUP_001,"Oh, hello! I thought I felt the presence of a different Wetware Entity.",おっ、ども〰！ やっぱり、はじめましての《ウェットウェア・エンティティー》が来てたね。,,,,"О, привет! Мне показалось, что я почувствовала присутствие другой сущности из Wetware Entity.",,
I18N_SETUP_002,...Or I’ve misplaced your configuration files again.,・・・それか、また設定ファイルをなくしちゃったかも。,,,,"...или я перепутала ваши файлы конфигурации, опять.",,
I18N_SETUP_003,"Anyway, I’m your navigator, and I’m here to do some first-time setup of the game.",なにはともあれ、ナビゲーターとして、初回設定の手助けしないとね。,,,,"В любом случае, я ваш навигатор, и я здесь для того, чтобы провести первую настройку игры.",,
I18N_SETUP_004,First of all...,まずはねー・・・,,,,В первую очередь...,,
I18N_SETUP_005,How many fingers do you use to tap your phone?,画面をタッチするのは片手だけ？ それとも両手？,,,,"Сколько пальцев вы используете, чтобы нажать на свой телефон?",,
I18N_SETUP_006,Just 1 finger.,片手,,,,Только 1 палец.,,
I18N_SETUP_007,2 fingers.,両手,,,,2 пальца.,,
I18N_SETUP_008,Which key should instantly drop the piece?,牌を即落とすのはどのキー？,,,,Какая клавиша должна мгновенно бросить фигуру?,,
I18N_SETUP_009,Which button do you use to confirm?,決定するのはどっちのボタン？,,,,Какую кнопку вы используете для подтверждения?,,
I18N_SETUP_010,Perfect! I’ll adjust the settings accordingly.,わかった！ 設定に反映させておくね。,,,,Отлично! Я скорректирую настройки соответствующим образом.,,
I18N_SETUP_011,"I’ve set your control scheme to “gestures”, but you can change it to “virtual buttons” any time you want.",操作モードを『ジェスチャー』に設定しておいたけど、気に入らなかったらいつでも『仮想ボタン』に変えれるよ。,,,,"Я настроила вашу схему управления на “жесты”, но вы можете изменить ее на “виртуальные кнопки” в любое время, когда захотите.",,
I18N_SETUP_012,"I’ve set your control scheme to “virtual buttons”, but you can change it to “gestures” any time you want.",操作モードを『仮想ボタン』に設定しておいたけど、気に入らなかったらいつでも『ジェスチャー』に変えれるよ。,,,,"Я настроила вашу схему управления на “виртуальные кнопки”, но вы можете изменить ее на “жесты” в любое время, когда захотите.",,
I18N_SETUP_013,"Next... Do you want the right rotate button ⮊ to turn clockwise, or counterclockwise?",次は、右ボタン⮊ を押したら、牌はどっち向きに回るべき？,,,,"Дальше... Вы хотите, чтобы правая кнопка поворота ⮊ вращалась по часовой стрелке или против часовой стрелки?",,
I18N_SETUP_014,Excellent! I’ve committed that to your settings file.,よし！ そういう設定にしておいたよ。,,,,Класс! Я внесла это в ваш файл настроек.,,
I18N_SETUP_015,"Okay, final question: Do you want to activate colorblind mode?",これで最後だよ。色覚多様モードをONにしたい？,,,,"Хорошо, последний вопрос: вы хотите активировать режим дальтонизма?",,
I18N_SETUP_016,"Yes, please!",うん、お願い！,,,,"Да, пожалуйста!",,
I18N_SETUP_017,"No, but thanks for asking.",いや、大丈夫。,,,,"Нет, но спасибо что спросили.",,
I18N_SETUP_018,Spectacular!,よっしゃ〰！,,,,Потрясно!,,
I18N_SETUP_019,The setup is complete now.,これでセットアップはおしまいだよ。,,,,Теперь настройка завершена.,,
I18N_SETUP_020,You can also change these settings later using the Gear button in the main menu.,今変えた設定は、後でまた、メインメニューの歯車ボタンを押したらいじれるよ。,,,,Вы также можете изменить эти настройки позже в главном меню.,,
I18N_SETUP_021,I’ll see you again in Story Mode. Have fun!,じゃあまた、ストーリーモードでね。楽しんでね〰！,,,,Увидемся в Историческом режиме. Веселись!,,
I18N_SETUP_SKIP,Skip setup,初期設定を飛ばす,,,,Пропустить настройку,,
I18N_SETUP_SKIP_HELP,Press Start button or End key,STARTボタンかEndキーを押す,,,,Нажми кнопку Start или клавишу End,,
I18N_DELETE_SAVE_CONFIRM,Are you absolutely sure you want to delete all story mode progress and high scores?,本当に、ストーリーモードの成果とハイスコアのセーブデータを消去しますか？,,,,"Вы абсолютно уверены, что хотите удалить весь прогресс в Историческом режиме и счёт?",,
I18N_DELETE_SAVE,Delete save data,セーブデータを消す,,,,Удалить данные сохранения,,
I18N_DONT_DELETE,No wait go back,間違えた、戻って,,,,"Не дожидаясь, вернуться",,
